"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.346701790E-1,-1.126305699E0,1.882589817E0,-9.612264633E-1,2.395133663E0
2.371314090E-1,-1.069918513E0,1.840618372E0,-1.040503502E0,2.369651695E0
2.395950250E-1,-9.705688953E-1,1.752917528E0,-1.129536629E0,2.300125396E0
2.420561800E-1,-8.406525850E-1,1.534727335E0,-1.158410072E0,2.098570622E0
2.445197950E-1,-6.928101778E-1,1.299553633E0,-1.235838890E0,1.922530455E0
2.469810260E-1,-5.058034658E-1,9.477729797E-1,-1.280979156E0,1.671830843E0
2.494446410E-1,-3.267177343E-1,5.991787910E-1,-1.364378929E0,1.525545661E0
2.519058720E-1,-9.844005108E-2,1.437945366E-1,-1.452243328E0,1.462661272E0
2.543695010E-1,1.462665796E-1,-3.673574924E-1,-1.468858719E0,1.521148045E0
2.568019810E-1,5.127062798E-1,-8.887369633E-1,-1.444630623E0,1.771913868E0
2.592345020E-1,8.527562618E-1,-1.230736971E0,-1.356730461E0,2.020550489E0
2.617555010E-1,1.120348930E0,-1.316221833E0,-1.320954800E0,2.175440926E0
2.642191170E-1,1.367365241E0,-1.323022842E0,-1.335054398E0,2.324316542E0
2.666803530E-1,1.510714293E0,-1.457505822E0,-1.335329056E0,2.487907672E0
2.691438910E-1,1.639889956E0,-1.564220190E0,-1.337958336E0,2.631759179E0
2.716051220E-1,1.725222707E0,-1.678481698E0,-1.321338177E0,2.745838447E0
2.740687370E-1,1.824772477E0,-1.692789912E0,-1.339155197E0,2.826423344E0
2.765299680E-1,1.883945465E0,-1.769073009E0,-1.365601063E0,2.922967001E0
2.789935680E-1,1.907129169E0,-1.739818692E0,-1.402893066E0,2.938063938E0
2.814547220E-1,1.973368049E0,-1.875196218E0,-1.455135822E0,3.086739797E0
2.839183380E-1,2.096882105E0,-1.984243155E0,-1.525204659E0,3.265024458E0
2.863795680E-1,2.209956884E0,-2.124444962E0,-1.468600273E0,3.399112029E0
2.888431840E-1,2.370799541E0,-2.222882032E0,-1.414175034E0,3.544260998E0
2.913044150E-1,2.477557182E0,-2.260852575E0,-1.330691814E0,3.608390869E0
2.937680300E-1,2.534493923E0,-2.124968767E0,-1.196076393E0,3.517065602E0
2.962291840E-1,2.541707516E0,-2.035628796E0,-1.031765938E0,3.415933641E0
2.986927990E-1,2.551743984E0,-2.028052330E0,-9.525575638E-1,3.395844450E0
3.011540300E-1,2.602664948E0,-2.198509455E0,-9.553136826E-1,3.538351718E0
3.036176360E-1,2.695446730E0,-2.348976135E0,-9.599409103E-1,3.701973596E0
3.060788670E-1,2.704639435E0,-2.561351538E0,-7.271327972E-1,3.795302132E0
3.085424830E-1,2.775026321E0,-2.696949244E0,-2.294502258E-1,3.876461494E0
3.110036360E-1,2.766089439E0,-2.857859373E0,3.958415985E-2,3.977458722E0
3.134672520E-1,2.854936600E0,-2.938792706E0,4.904298782E-1,4.126461804E0
3.159284680E-1,2.864659548E0,-3.124684334E0,9.302234650E-1,4.339958779E0
3.183920830E-1,2.901971817E0,-3.140281200E0,1.284965515E0,4.464744429E0
3.208533140E-1,2.946447849E0,-3.268154621E0,1.237524033E0,4.570979686E0
3.233168520E-1,3.079002380E0,-3.275635481E0,1.197654724E0,4.652356424E0
3.257780830E-1,3.236455917E0,-3.389798403E0,9.424085617E-1,4.780534909E0
3.282416980E-1,3.360072613E0,-3.267592430E0,9.971046448E-1,4.791812384E0
3.307029290E-1,3.292603016E0,-3.224236488E0,1.343867302E0,4.800303624E0
3.331665450E-1,3.148136377E0,-3.139901638E0,1.874481201E0,4.825290118E0
3.356277750E-1,2.971160889E0,-3.177725315E0,2.196158409E0,4.873278872E0
3.380913140E-1,2.951200008E0,-3.131843090E0,2.772394180E0,5.119003040E0
3.405525550E-1,2.777782679E0,-3.096199989E0,3.556845665E0,5.472995712E0
3.430161700E-1,2.400424719E0,-2.757086992E0,4.156999588E0,5.535721551E0
3.454774010E-1,1.713687420E0,-2.260175228E0,4.575608253E0,5.383428975E0
3.479410160E-1,9.803812504E-1,-1.570381880E0,4.791140556E0,5.136367829E0
3.504021700E-1,2.180380821E-1,-9.440104961E-1,4.843035698E0,4.938996983E0
3.528657890E-1,-4.188339710E-1,-3.017625809E-1,4.877399445E0,4.904641464E0
3.553270200E-1,-9.430005550E-1,2.064027786E-1,4.901364326E0,4.995520435E0
3.577906360E-1,-1.404218435E0,6.878006458E-1,4.859002113E0,5.104390334E0
